City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,howrah,22.5892,88.3103,28.0,83,40,1.54,IN,1742152589
150,burutu,5.3509,5.5076,28.29,75,98,4.41,NG,1742152591
151,mato verde,-15.3972,-42.8664,36.92,14,22,3.22,BR,1742152594
152,jinshi,29.6049,111.8701,6.62,58,100,0.94,CN,1742152595
153,damghan,36.1683,54.348,14.83,21,84,1.17,IR,1742152597
154,ilulissat,69.2167,-51.1,-7.99,86,100,5.66,GL,1742152600
155,itaituba,-4.2761,-55.9836,28.53,90,95,1.3,BR,1742152474
156,westerland,54.9079,8.3033,5.52,94,75,4.12,DE,1742152603
157,haiku-pauwela,20.9219,-156.3051,24.03,79,40,8.94,US,1742152604
158,kundiawa,-6.0167,144.9667,15.59,97,100,1.15,PG,1742152607
159,keflavik,64.0049,-22.5624,7.24,100,75,8.23,IS,1742152609
160,waingapu,-9.6567,120.2641,25.49,88,100,3.37,ID,1742152610
161,ode,7.7899,5.7117,31.54,32,100,1.4,NG,1742152613
162,simanggang,1.2472,111.4528,23.99,100,100,0.51,MY,1742152615
163,badger,64.8,-147.5333,-12.7,67,0,2.06,US,1742152617
164,susanville,40.4163,-120.653,8.91,53,0,15.43,US,1742152618
165,devils lake,48.1128,-98.8651,-5.59,64,100,5.66,US,1742152364
166,changzhi,35.2089,111.7386,2.88,33,64,3.04,CN,1742152471
167,posto fiscal rolim de moura,-13.0833,-62.2667,32.64,56,89,1.62,BR,1742152623
168,aasiaat,68.7098,-52.8699,-12.33,91,80,5.02,GL,1742152625
169,severo-yeniseyskiy,60.3725,93.0408,-3.26,75,75,5.47,RU,1742152626
170,gordon,34.5004,-84.8666,21.79,37,20,8.23,US,1742152628
171,san patricio,28.017,-97.5169,26.97,18,0,3.58,US,1742152629
172,smithers,54.7804,-127.1743,-0.82,69,75,1.03,CA,1742152630
173,lorengau,-2.0226,147.2712,27.82,73,100,4.74,PG,1742152632
174,guiuan,11.0333,125.7247,27.15,78,100,5.65,PH,1742152633
175,kapa'a,22.0752,-159.319,22.49,90,100,3.6,US,1742152635
176,nova sintra,14.8667,-24.7167,21.24,83,4,13.11,CV,1742152636
177,gallup,35.5281,-108.7426,8.91,40,0,3.6,US,1742152638
178,kiunga,-6.1219,141.2906,22.84,96,100,0.35,PG,1742152639
179,concepcion del oro,24.6333,-101.4167,17.24,11,24,4.43,MX,1742152641
180,karratha,-20.7377,116.8463,31.58,54,100,5.22,AU,1742152642
181,petukhovo,55.0692,67.9019,0.75,99,100,5.41,RU,1742152644
182,constantia,44.1833,28.65,8.38,81,89,1.7,RO,1742152645
183,kourou,5.1552,-52.6478,28.15,70,100,4.1,GF,1742152646
184,sisimiut,66.9395,-53.6735,-10.49,85,41,2.22,GL,1742152648
185,mindelo,16.8901,-24.9804,22.75,64,20,13.38,CV,1742152649
186,kimbe,-5.5502,150.1429,24.51,93,67,1.1,PG,1742152650
187,chiredzi,-21.05,31.6667,20.13,65,0,2.28,ZW,1742152652
188,toliara,-23.35,43.6667,22.94,73,2,8.04,MG,1742152657
189,xilin hot,43.9667,116.0333,-7.75,72,100,7.04,CN,1742152658
190,lagoa,39.05,-27.9833,13.8,77,98,15.61,PT,1742152660
191,canton,23.1167,113.25,15.03,45,39,4.79,CN,1742152448
192,arraial do cabo,-22.9661,-42.0278,25.92,89,75,2.57,BR,1742152568
193,stornoway,58.2093,-6.3865,7.27,82,40,3.09,GB,1742152624
194,punta arenas,-53.15,-70.9167,13.06,62,0,3.6,CL,1742152667
195,lazaro cardenas,17.9583,-102.2,28.42,52,7,4.39,MX,1742152668
196,mariinsk,56.2139,87.7472,-6.47,94,30,2.54,RU,1742152628
197,anaconda,46.1285,-112.9423,3.74,79,100,5.53,US,1742152562
198,tefe,-3.3542,-64.7114,31.06,74,40,3.09,BR,1742152673
199,zhumysker,49.3333,49.4,17.95,45,100,7.57,KZ,1742152675
200,i-n-salah,27.1935,2.4607,25.78,14,0,0.75,DZ,1742152677
201,mutum biyu,8.6333,10.7667,32.52,10,100,1.52,NG,1742152678
202,mokopane,-24.1944,29.0097,18.38,68,50,3.18,ZA,1742152679
203,tura,25.5198,90.2201,22.68,34,8,1.94,IN,1742152681
204,fort bragg,35.139,-79.006,20.91,94,100,3.6,US,1742152416
205,pisco,-13.7,-76.2167,26.03,57,0,8.75,PE,1742152685
206,tamanrasset,22.785,5.5228,26.95,17,40,4.12,DZ,1742152687
207,port saint john's,-31.6229,29.5448,21.94,85,100,7.89,ZA,1742152688
208,nago,26.5881,127.9761,12.39,61,100,8.59,JP,1742152690
209,solnechnyy,50.7214,136.6319,-14.62,98,100,1.33,RU,1742152691
210,hovd,48.0056,91.6419,-13.12,87,55,1.08,MN,1742152693
211,lobito,-12.3481,13.5456,26.72,84,100,2.25,AO,1742152694
212,klyuchi,52.2667,79.1667,-4.71,85,100,4.01,RU,1742152696
213,ancud,-41.8697,-73.8203,15.03,76,100,3.46,CL,1742152573
214,orivesi,61.6777,24.3572,-4.03,74,57,4.02,FI,1742152699
215,sakakah,29.9697,40.2064,19.76,29,0,3.2,SA,1742152612
216,aral,40.5156,81.2636,5.87,18,11,0.97,CN,1742152702
217,saldanha,-33.0117,17.9442,17.89,92,100,6.33,ZA,1742152703
218,dunedin,-45.8742,170.5036,18.78,72,52,3.72,NZ,1742152528
219,vilyuchinsk,52.9306,158.4028,-9.85,77,79,5.64,RU,1742152709
220,afaahiti,-17.75,-149.2833,26.28,81,78,8.5,PF,1742152710
221,man,7.4125,-7.5538,26.04,74,80,0.4,CI,1742152712
222,aleksandrov gay,50.147,48.5704,15.71,53,100,7.24,RU,1742152714
223,sile,41.1754,29.6133,18.14,48,100,5.68,TR,1742152715
224,vila franca do campo,37.7167,-25.4333,14.23,75,100,13.54,PT,1742152716
225,alamar,23.1583,-82.2769,31.13,50,5,8.57,CU,1742152718
226,ola,59.5833,151.2833,-25.29,81,99,3.18,RU,1742152719
227,new norfolk,-42.7826,147.0587,8.29,79,17,1.73,AU,1742152721
228,pekan,3.4836,103.3996,25.04,85,99,3.86,MY,1742152723
229,santana,-0.0583,-51.1817,29.1,79,40,4.63,BR,1742152725
230,ebaye,8.7748,167.7392,28.01,74,75,7.2,MH,1742152727
231,paramonga,-10.6667,-77.8333,24.18,75,97,5.04,PE,1742152728
232,al kharijah,25.4514,30.5464,27.65,21,0,4.07,EG,1742152729
233,guangyuan,32.442,105.823,6.17,52,100,0.73,CN,1742152731
234,nagqu,31.5,92.0,-3.01,31,46,7.76,CN,1742152732
235,happy valley-goose bay,53.3168,-60.3315,-10.83,79,100,2.57,CA,1742152734
236,khash,28.2211,61.2158,14.16,14,0,2.57,IR,1742152736
237,menemen,38.6075,27.0694,22.88,31,0,4.12,TR,1742152738
238,borogontsy,62.6683,131.1683,-28.14,100,100,1.36,RU,1742152739
239,mount gambier,-37.8333,140.7667,13.73,49,100,3.98,AU,1742152740
240,laguna de duero,41.5815,-4.7233,6.64,51,10,3.35,ES,1742152742
241,collie,-33.3667,116.15,13.56,76,0,4.13,AU,1742152743
242,amga,60.8953,131.9608,-29.72,100,100,0.79,RU,1742152746
243,dampit,-8.2116,112.7493,21.77,96,100,0.61,ID,1742152748
244,masuguru,-11.3667,38.4167,23.23,96,100,1.15,TZ,1742152749
245,holualoa,19.6228,-155.9522,25.31,63,0,2.57,US,1742152750
246,pangody,65.85,74.4859,-9.91,87,9,6.46,RU,1742152752
247,lihue,21.9789,-159.3672,22.08,83,100,3.6,US,1742152753
248,sao vicente,-23.9631,-46.3919,23.32,26,100,2.24,BR,1742152584
249,lata,40.1629,-8.3327,9.14,80,98,2.34,PT,1742152756
250,lerwick,60.1545,-1.1494,3.93,65,37,3.15,GB,1742152758
251,montefiascone,42.5393,12.0362,6.03,85,42,2.99,IT,1742152759
252,xudat,41.631,48.681,15.7,49,11,1.51,AZ,1742152760
253,zouerate,22.7187,-12.4521,26.45,16,0,4.02,MR,1742152762
254,tayoltita,24.0833,-105.9333,35.53,8,88,2.99,MX,1742152764
255,sibolga,1.7427,98.7792,24.63,90,100,1.31,ID,1742152765
256,uchiza,-8.4592,-76.4633,23.48,93,100,1.02,PE,1742152767
257,yanbu,24.0891,38.0637,28.02,44,0,3.6,SA,1742152770
258,weno,7.4515,151.8468,26.97,89,100,4.12,FM,1742152771
259,okawa,33.2,130.35,3.94,46,73,6.73,JP,1742152773
260,northam,51.0333,-4.2167,5.02,78,22,4.34,GB,1742152774
261,newman,37.3138,-121.0208,15.59,66,100,3.58,US,1742152776
262,nogamerzin-yurt,43.6536,44.8889,20.72,31,99,2.01,RU,1742152777
263,kapit,2.0167,112.9333,22.78,100,100,0.56,MY,1742152778
264,buxton,53.2574,-1.9098,6.49,85,27,4.54,GB,1742152547
265,barra de santo antonio,-9.4047,-35.5072,28.11,69,27,4.45,BR,1742152782
266,stavern,59.0,10.0333,2.4,49,0,5.23,NO,1742152783
267,znamenskoye,57.1281,73.8282,0.75,99,100,3.04,RU,1742152785
268,ares,-6.1944,-35.1603,26.87,82,100,4.65,BR,1742152787
269,harper,4.375,-7.7169,27.27,81,63,2.94,LR,1742152789
270,praia,14.9215,-23.5087,23.3,64,20,6.17,CV,1742152791
271,zarghun shahr,32.8473,68.4457,7.19,39,0,2.07,AF,1742152792
272,la ronge,55.1001,-105.2842,-12.86,52,40,2.57,CA,1742152795
273,kangal,39.2335,37.3911,10.0,57,100,2.27,TR,1742152796
274,mao,39.8885,4.2658,13.31,88,20,4.12,ES,1742152798
275,nishinoomote,30.7333,131.0,9.04,66,100,18.01,JP,1742152683
276,kaa-khem,51.6833,94.7333,-15.3,86,4,1.79,RU,1742152801
277,gulf shores,30.246,-87.7008,23.03,47,0,9.26,US,1742152802
278,daxi,24.8837,121.2904,14.31,72,99,4.25,TW,1742152803
279,sierra grande,-41.606,-65.3557,26.22,33,67,3.99,AR,1742152805
280,okha,53.5739,142.9478,-22.4,100,75,1.87,RU,1742152806
281,lebu,-37.6167,-73.65,16.19,69,1,6.79,CL,1742152808
282,ambatondrazaka,-17.8333,48.4167,21.04,95,100,2.8,MG,1742152810
283,kushiro,42.975,144.3747,-2.47,100,100,6.17,JP,1742152811
284,mulayjah,27.271,48.4242,19.54,47,0,3.2,SA,1742152813
285,kurchatov,51.6601,35.6521,1.21,64,100,2.67,RU,1742152814
286,abepura,-2.6333,140.5833,24.45,100,20,0.51,ID,1742152815
287,maun,-19.9833,23.4167,22.98,100,0,3.09,BW,1742152817
288,alotau,-10.3069,150.4462,25.13,92,100,1.21,PG,1742152818
289,okhotsk,59.3833,143.3,-22.1,87,2,3.89,RU,1742152820
290,muborak,39.2553,65.1528,16.92,28,16,0.4,UZ,1742152821
291,margate,51.3813,1.3862,6.04,78,9,1.34,GB,1742152823
292,businga,3.3333,20.8833,22.45,92,100,3.74,CD,1742152825
293,sur,22.5667,59.5289,23.46,47,6,2.5,OM,1742152826
294,belmonte,-15.8631,-38.8828,28.63,64,41,3.7,BR,1742152828
295,sinanpasa,38.7444,30.2428,15.11,44,100,3.8,TR,1742152829
296,carnarvon,-24.8667,113.6333,27.42,71,76,5.13,AU,1742152831
297,launceston,-41.45,147.1667,6.8,65,5,2.06,AU,1742152832
298,s'arenal,39.5,2.75,15.05,81,20,6.69,ES,1742152833
299,patong,7.8961,98.2966,26.08,79,45,3.5,TH,1742152836
300,beira,-19.8436,34.8389,26.05,78,40,5.66,MZ,1742152837
301,anamur,36.0751,32.8369,20.54,44,100,3.67,TR,1742152839
302,ust-tsilma,65.441,52.1498,-2.98,94,100,3.27,RU,1742152840
303,olinda,-8.0089,-34.8553,28.85,79,40,4.63,BR,1742152841
304,talnakh,69.4865,88.3972,-13.08,93,82,3.37,RU,1742152843
305,darwin,-12.4611,130.8418,24.99,94,88,1.54,AU,1742152844
306,guerrero negro,27.9769,-114.0611,21.04,39,1,2.68,MX,1742152845
307,santa ana,33.7456,-117.8678,20.48,54,75,2.57,US,1742152583
308,tarinkot,32.6268,65.8733,13.34,30,0,1.67,AF,1742152848
309,macau,22.2006,113.5461,15.85,63,20,8.75,MO,1742152662
310,bel ombre,-4.6167,55.4167,27.91,83,20,3.6,SC,1742152851
311,chernyshevsk,52.5243,117.0174,-16.3,93,100,0.99,RU,1742152852
312,nyaunglebin,17.95,96.7333,23.64,62,19,2.42,MM,1742152855
313,cooma,-36.2333,149.1333,5.38,71,5,4.42,AU,1742152858
314,anadyr,64.75,177.4833,-30.72,76,0,4.0,RU,1742152728
315,hilo,19.7297,-155.09,23.3,97,22,1.34,US,1742152628
316,tidjikja,18.5564,-11.4271,31.41,15,0,1.53,MR,1742152863
317,forster,-32.1667,152.5167,21.29,84,100,10.57,AU,1742152865
318,kindu,-2.95,25.95,21.83,94,100,1.42,CD,1742152785
319,kodiak,57.79,-152.4072,-1.27,51,40,5.66,US,1742152826
320,praia da vitoria,38.7333,-27.0667,14.14,72,40,14.05,PT,1742152869
321,greymouth,-42.4667,171.2,15.75,84,95,2.14,NZ,1742152871
322,vorgashor,67.5833,63.95,-5.82,95,100,7.7,RU,1742152657
323,ceeldheer,3.8488,47.1806,27.26,80,25,6.12,SO,1742152875
324,kampong chhnang,12.1667,104.55,26.08,75,100,2.72,KH,1742152877
325,yilan,24.757,121.753,12.38,79,100,2.21,TW,1742152878
326,bria,6.5423,21.9863,29.16,35,69,1.87,CF,1742152880
327,skelleftea,64.7507,20.9528,-2.78,58,0,4.12,SE,1742152882
328,general acha,-37.377,-64.6043,27.74,43,0,4.85,AR,1742152650
329,mugia,43.1041,-9.2179,9.95,71,0,8.72,ES,1742152885
330,huangshi,30.2042,115.0776,7.01,52,100,1.01,CN,1742152887
331,persembe,41.0656,37.7714,16.68,47,100,4.64,TR,1742152888
332,bardai,11.65,7.2333,28.73,7,99,4.23,NG,1742152890
333,monze,-16.2833,27.4833,17.71,98,14,2.14,ZM,1742152891
334,kantunilkin,21.0917,-87.45,36.91,31,6,2.91,MX,1742152892
335,mournies,35.4764,24.0092,22.13,58,0,3.09,GR,1742152895
336,asaita,11.5636,41.4394,28.16,46,99,3.98,ET,1742152897
337,kalmunai,7.4167,81.8167,26.28,82,79,1.68,LK,1742152898
338,eldorado at santa fe,35.5264,-105.9347,10.04,30,0,4.02,US,1742152899
339,voi,-3.3945,38.563,25.21,76,90,3.76,KE,1742152902
340,urzhar,47.093,81.6294,-3.5,66,0,3.76,KZ,1742152804
341,hasaki,35.7333,140.8333,10.25,85,100,7.1,JP,1742152905
342,geraldton,-28.7667,114.6,26.23,41,0,11.32,AU,1742152909
343,fortuna,40.5982,-124.1573,13.53,94,75,7.2,US,1742152910
344,kuragino,53.8975,92.6725,-1.62,95,100,1.67,RU,1742152912
345,ouesso,1.6136,16.0517,24.53,74,32,0.17,CG,1742152914
346,chinchilla,-26.75,150.6333,20.01,93,0,0.45,AU,1742152915
347,damara,4.9608,18.7035,27.97,48,100,1.33,CF,1742152916
